d,total_sales,date,month,year,event_name_1,event_type_1,snap_CA,snap_TX,snap_WI,wm_yr_wk,day_of_week,is_weekend,day_of_year,week_of_year,is_holiday,is_snap_day,sales_lag_7,sales_lag_14,sales_lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_30,month_sin,month_cos,day_sin,day_cos,avg_price,price_lag_7,price_change
d_1,32631,2011-01-29,1,2011,,,0,0,0,11101,5,1,29,4,0,0,,,,32631.0,32631.0,32631.0,0.49999999999999994,0.8660254037844387,0.47873384011578846,0.8779600847008882,4.071246798390048,,
d_2,31749,2011-01-30,1,2011,,,0,0,0,11101,6,1,30,4,0,0,,,,32190.0,32190.0,32190.0,0.49999999999999994,0.8660254037844387,0.49377555015997715,0.869589389346611,4.071246798390048,,0.0
d_3,23783,2011-01-31,1,2011,,,0,0,0,11101,0,0,31,5,0,0,,,,29387.666666666668,29387.666666666668,29387.666666666668,0.49999999999999994,0.8660254037844387,0.5086709438521044,0.8609610158889943,4.071246798390048,,0.0
d_4,25412,2011-02-01,2,2011,,,1,1,0,11101,1,0,32,5,0,1,,,,28393.75,28393.75,28393.75,0.8660254037844386,0.5000000000000001,0.5234156073655503,0.8520775211013093,4.071246798390048,,0.0
d_5,19146,2011-02-02,2,2011,,,1,0,1,11101,2,0,33,5,0,1,,,,26544.2,26544.2,26544.2,0.8660254037844386,0.5000000000000001,0.5380051715382996,0.8429415373547828,4.071246798390048,,0.0
d_6,29211,2011-02-03,2,2011,,,1,1,1,11101,3,0,34,5,0,1,,,,26988.666666666668,26988.666666666668,26988.666666666668,0.8660254037844386,0.5000000000000001,0.5524353131676196,0.8335557718385699,4.071246798390048,,0.0
d_7,28010,2011-02-04,2,2011,,,1,0,0,11101,4,0,35,5,0,1,,,,27134.571428571428,27134.571428571428,27134.571428571428,0.8660254037844386,0.5000000000000001,0.5667017562911176,0.8239230057575542,4.071246798390048,,0.0
d_8,37932,2011-02-05,2,2011,,,1,1,1,11102,5,1,36,5,0,1,32631.0,,,27891.85714285714,28484.25,28484.25,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,4.161574112734864,4.071246798390048,2.2186646700105728
d_9,32736,2011-02-06,2,2011,SuperBowl,Sporting,1,1,1,11102,6,1,37,5,1,1,31749.0,,,28032.85714285714,28956.666666666668,28956.666666666668,0.8660254037844386,0.5000000000000001,0.5947266869607634,0.8039279618328213,4.161574112734864,4.071246798390048,0.0
d_10,25572,2011-02-07,2,2011,,,1,1,0,11102,0,0,38,6,0,1,23783.0,,,28288.428571428572,28618.2,28618.2,0.8660254037844386,0.5000000000000001,0.6084768701151261,0.7935716089521474,4.161574112734864,4.071246798390048,0.0
d_11,23071,2011-02-08,2,2011,,,1,0,1,11102,1,0,39,6,0,1,25412.0,,,27954.0,28113.909090909092,28113.909090909092,0.8660254037844386,0.5000000000000001,0.6220467484408675,0.7829801036770629,4.161574112734864,4.071246798390048,0.0
d_12,23658,2011-02-09,2,2011,,,1,1,1,11102,2,0,40,6,0,1,19146.0,,,28598.571428571428,27742.583333333332,27742.583333333332,0.8660254037844386,0.5000000000000001,0.6354323008901774,0.7721565844991642,4.161574112734864,4.071246798390048,0.0
d_13,23756,2011-02-10,2,2011,,,1,0,0,11102,3,0,41,6,0,1,29211.0,,,27819.285714285714,27435.923076923078,27435.923076923078,0.8660254037844386,0.5000000000000001,0.6486295610349814,0.7611042586607747,4.161574112734864,4.071246798390048,0.0
d_14,26445,2011-02-11,2,2011,,,0,1,1,11102,4,0,42,6,0,1,28010.0,,,27595.714285714286,27365.14285714286,27365.14285714286,0.8660254037844386,0.5000000000000001,0.6616346182422783,0.7498264012045686,4.161574112734864,4.071246798390048,0.0
d_15,34833,2011-02-12,2,2011,,,0,1,1,11103,5,1,43,6,0,1,37932.0,32631.0,,27153.0,27522.428571428572,27863.0,0.8660254037844386,0.5000000000000001,0.6744436188329455,0.7383263540031065,4.190453710360252,4.161574112734864,0.693958508080228
d_16,36380,2011-02-13,2,2011,,,0,1,0,11103,6,1,44,6,0,1,32736.0,31749.0,,27673.571428571428,27853.214285714286,28395.3125,0.8660254037844386,0.5000000000000001,0.6870527672236669,0.7266075247685656,4.190453710360252,4.161574112734864,0.0
d_17,21804,2011-02-14,2,2011,ValentinesDay,Cultural,0,0,1,11103,0,0,45,7,1,1,25572.0,23783.0,,27135.285714285714,27711.85714285714,28007.58823529412,0.8660254037844386,0.5000000000000001,0.699458327051647,0.7146733860429609,4.190453710360252,4.161574112734864,0.0
d_18,24070,2011-02-15,2,2011,,,0,1,1,11103,1,0,46,7,0,1,23071.0,25412.0,,27278.0,27616.0,27788.833333333332,0.8660254037844386,0.5000000000000001,0.7116566222817746,0.7025274741691571,4.190453710360252,4.161574112734864,0.0
d_19,21443,2011-02-16,2,2011,,,0,0,0,11103,2,0,47,7,0,0,23658.0,19146.0,,26961.571428571428,27780.071428571428,27454.842105263157,0.8660254037844386,0.5000000000000001,0.7236440382959124,0.6901733882429719,4.190453710360252,4.161574112734864,0.0
d_20,20318,2011-02-17,2,2011,,,0,0,0,11103,3,0,48,7,0,0,23756.0,29211.0,,26470.428571428572,27144.85714285714,27098.0,0.8660254037844386,0.5000000000000001,0.7354170229639855,0.6776147890466889,4.190453710360252,4.161574112734864,0.0
d_21,23721,2011-02-18,2,2011,,,0,0,0,11103,4,0,49,7,0,0,26445.0,28010.0,,26081.285714285714,26838.5,26937.190476190477,0.8660254037844386,0.5000000000000001,0.7469720876965552,0.6648553979642865,4.190453710360252,4.161574112734864,0.0
d_22,31689,2011-02-19,2,2011,,,0,0,0,11104,5,1,50,7,0,0,34833.0,37932.0,,25632.14285714286,26392.571428571428,27153.18181818182,0.8660254037844386,0.5000000000000001,0.7583058084785624,0.6518989958787126,4.200811782170482,4.190453710360252,0.24718258513680702
d_23,29283,2011-02-20,2,2011,,,0,0,0,11104,6,1,51,7,0,0,36380.0,32736.0,,24618.285714285714,26145.928571428572,27245.782608695652,0.8660254037844386,0.5000000000000001,0.7694148268839378,0.6387494220515272,4.200811782170482,4.190453710360252,0.0
d_24,23966,2011-02-21,2,2011,PresidentsDay,National,0,0,0,11104,0,0,52,8,1,0,21804.0,25572.0,,24927.14285714286,26031.214285714286,27109.125,0.8660254037844386,0.5000000000000001,0.7802958510707755,0.6254105729852463,4.200811782170482,4.190453710360252,0.0
d_25,20501,2011-02-22,2,2011,,,0,0,0,11104,1,0,53,8,0,0,24070.0,23071.0,,24417.285714285714,25847.64285714286,26844.8,0.8660254037844386,0.5000000000000001,0.7909456567567772,0.6118864012687243,4.200811782170482,4.190453710360252,0.0
d_26,20757,2011-02-23,2,2011,,,0,0,0,11104,2,0,54,8,0,0,21443.0,23658.0,,24319.285714285714,25640.428571428572,26610.653846153848,0.8660254037844386,0.5000000000000001,0.8013610881746766,0.5981809144059165,4.200811782170482,4.190453710360252,0.0
d_27,20277,2011-02-24,2,2011,,,0,0,0,11104,3,0,55,8,0,0,20318.0,23756.0,,24313.428571428572,25391.928571428572,26376.074074074073,0.8660254037844386,0.5000000000000001,0.8115390590073611,0.5842981736283684,4.200811782170482,4.190453710360252,0.0
d_28,22529,2011-02-25,2,2011,,,0,0,0,11104,4,0,56,8,0,0,23721.0,26445.0,,24143.14285714286,25112.214285714286,26238.678571428572,0.8660254037844386,0.5000000000000001,0.8214765533024142,0.5702422926917871,4.200811782170482,4.190453710360252,0.0
d_29,29908,2011-02-26,2,2011,,,0,0,0,11105,5,1,57,8,0,0,31689.0,34833.0,32631.0,23888.714285714286,24760.428571428572,26365.206896551725,0.8660254037844386,0.5000000000000001,0.8311706263658079,0.5560174366570446,4.202975523670682,4.200811782170482,0.051507699282882236
d_30,28707,2011-02-27,2,2011,,,0,0,0,11105,6,1,58,8,0,0,29283.0,36380.0,31749.0,23806.428571428572,24212.35714285714,26443.266666666666,0.8660254037844386,0.5000000000000001,0.8406184056344782,0.5416278206559814,4.202975523670682,4.200811782170482,0.0
d_31,21240,2011-02-28,2,2011,,,0,0,0,11105,0,0,59,9,0,0,23966.0,21804.0,23783.0,23417.0,24172.071428571428,26063.566666666666,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722,4.202975523670682,4.200811782170482,0.0
d_32,22872,2011-03-01,3,2011,,,1,1,0,11105,1,0,60,9,0,1,20501.0,24070.0,25412.0,23755.714285714286,24086.5,25767.666666666668,1.0,6.123233995736766e-17,0.8587639582758029,0.5123714121284237,4.202975523670682,4.200811782170482,0.0
d_33,22046,2011-03-02,3,2011,,,1,0,1,11105,2,0,61,9,0,1,20757.0,21443.0,19146.0,23939.85714285714,24129.571428571428,25709.766666666666,1.0,6.123233995736766e-17,0.8674563547295969,0.49751328890718066,4.202975523670682,4.200811782170482,0.0
d_34,23475,2011-03-03,3,2011,,,1,1,1,11105,3,0,62,9,0,1,20277.0,20318.0,29211.0,24396.714285714286,24355.071428571428,25645.2,1.0,6.123233995736766e-17,0.8758917051442429,0.48250774176121847,4.202975523670682,4.200811782170482,0.0
d_35,23572,2011-03-04,3,2011,,,1,0,0,11105,4,0,63,9,0,1,22529.0,23721.0,28010.0,24545.714285714286,24344.428571428572,25792.733333333334,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022,4.202975523670682,4.200811782170482,0.0
d_36,31202,2011-03-05,3,2011,,,1,1,1,11106,5,1,64,9,0,1,29908.0,31689.0,37932.0,24730.571428571428,24309.64285714286,25859.1,1.0,6.123233995736766e-17,0.8919813464595485,0.45207220393230435,4.201782660866956,4.202975523670682,-0.028381388304732358
d_37,34876,2011-03-06,3,2011,,,1,1,1,11106,6,1,65,9,0,1,28707.0,29283.0,32736.0,25611.85714285714,24709.14285714286,26087.966666666667,1.0,6.123233995736766e-17,0.8996308696522433,0.43665123195606403,4.201782660866956,4.202975523670682,0.0
d_38,24562,2011-03-07,3,2011,,,1,1,0,11106,0,0,66,10,0,1,21240.0,23966.0,25572.0,26086.428571428572,24751.714285714286,25642.3,1.0,6.123233995736766e-17,0.9070138128026359,0.4211008707960896,4.201782660866956,4.202975523670682,0.0
d_39,22752,2011-03-08,3,2011,,,1,0,1,11106,1,0,67,10,0,1,22872.0,20501.0,23071.0,26069.285714285714,24912.5,25309.5,1.0,6.123233995736766e-17,0.9141279881853337,0.40542572835999735,4.201782660866956,4.202975523670682,0.0
d_40,22560,2011-03-09,3,2011,LentStart,Religious,1,1,1,11106,2,0,68,10,1,1,22046.0,20757.0,23658.0,26142.714285714286,25041.285714285714,25209.1,1.0,6.123233995736766e-17,0.9209712877166346,0.38963044953078796,4.201782660866956,4.202975523670682,0.0
d_41,22626,2011-03-10,3,2011,,,1,0,0,11106,3,0,69,10,0,1,23475.0,20277.0,23756.0,26021.428571428572,25209.071428571428,25194.266666666666,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906,4.201782660866956,4.202975523670682,0.0
d_42,25572,2011-03-11,3,2011,,,0,1,1,11106,4,0,70,10,0,1,23572.0,22529.0,26445.0,26307.14285714286,25426.428571428572,25258.066666666666,1.0,6.123233995736766e-17,0.9338372288229252,0.35769823883312546,4.201782660866956,4.202975523670682,0.0
d_43,32225,2011-03-12,3,2011,,,0,1,1,11107,5,1,71,10,0,1,31202.0,29908.0,34833.0,26453.285714285714,25591.928571428572,25540.366666666665,1.0,6.123233995736766e-17,0.9398560579418954,0.3415707691678556,4.223438717741343,4.201782660866956,0.5154016431187403
d_44,31417,2011-03-13,3,2011,,,0,1,0,11107,6,1,72,10,0,1,34876.0,28707.0,36380.0,25959.14285714286,25785.5,25706.1,1.0,6.123233995736766e-17,0.9455963874271426,0.3253420847119801,4.223438717741343,4.201782660866956,0.0
d_45,24935,2011-03-14,3,2011,,,0,0,1,11107,0,0,73,11,0,1,24562.0,21240.0,21804.0,26012.428571428572,26049.428571428572,25376.166666666668,1.0,6.123233995736766e-17,0.9510565162951535,0.30901699437494745,4.223438717741343,4.201782660866956,0.0
