ds,yhat,yhat_lower,yhat_upper
2014-09-29,35248.524943713455,31022.449779094546,39459.31103295061
2014-09-30,32854.09743699277,28421.53725897883,36963.33626599561
2014-10-01,32339.259008347122,28173.194993569603,36744.311694887605
2014-10-02,32688.067173106945,28712.893134655955,37065.19815017436
2014-10-03,36595.4256441887,32159.752491094514,40881.57253568824
2014-10-04,43386.827648857,39324.041351058404,47549.63736781917
2014-10-05,42579.17497680105,38324.59442019028,46761.19632712391
2014-10-06,34712.251149192045,30617.96886239652,38731.47940761089
2014-10-07,32270.81584340593,28301.45021017598,36384.302647983204
2014-10-08,31717.24911861444,27497.586658955588,36283.81147037641
2014-10-09,32036.51301031693,27911.55068793956,36464.872803946986
2014-10-10,35924.15672298819,31851.551615470726,40082.51410837314
2014-10-11,42706.0440513164,38696.88557986241,47188.424516698404
2014-10-12,41899.16422232284,37836.624443941255,46066.01553667283
2014-10-13,34043.10473566681,30017.420868900783,38153.54560183355
2014-10-14,31622.153306042528,27565.685700817172,35521.773043734174
2014-10-15,31097.957204251157,27170.410075823194,35303.78042491442
2014-10-16,31454.507107396166,27557.35749461757,35542.67048644553
2014-10-17,35386.171033122664,31230.287080872895,39764.799275451616
2014-10-18,42217.45615738006,38168.592499329454,46714.956389579245
2014-10-19,41463.85872345126,37399.87617739105,45375.00434493366
2014-10-20,33663.37950997925,29517.907519368866,37610.54579547596
2014-10-21,31298.670758636283,26730.05725189731,35619.218192346045
2014-10-22,30829.741594372877,26771.902662210705,34892.15015163746
2014-10-23,31238.987761773686,26749.575073908596,35651.41187651926
2014-10-24,35219.269976398224,31168.02217330028,39734.781748976755
2014-10-25,42093.71746240108,37851.73075338923,46133.99707476549
2014-10-26,41376.61573748598,37117.96198512397,45437.565394845165
2014-10-27,33604.95507924688,29497.05602762857,37479.786960111014
2014-10-28,31260.60468151163,27107.003904332785,35287.87676139682
2014-10-29,30803.03880757092,26458.267830206823,34984.93971335713
2014-10-30,31214.380222940687,27128.36366939773,35042.60363207601
2014-10-31,35187.48486519761,31290.612734247316,39341.00210891254
2014-11-01,42045.74418908471,37607.62955951936,46277.36229340729
2014-11-02,41303.964325377274,37231.03056127222,45683.57615748454
2014-11-03,33499.89877237977,29476.65739296479,37807.77239094385
2014-11-04,31116.40011183811,26948.82144125249,35387.880213105
2014-11-05,30614.117722725627,26547.53747739173,34972.54179317957
2014-11-06,30976.507605859813,27191.84202264157,35120.38826529138
2014-11-07,34897.879246888515,30960.307851195066,39253.814255281
2014-11-08,41703.15703686289,37635.090254285,45419.10846331267
2014-11-09,40908.71655055962,36601.080372750665,44821.73568687454
2014-11-10,33053.87360966553,28972.51108596171,37367.33611802083
2014-11-11,30622.992844367887,26350.316859866176,34487.53549710144
2014-11-12,30078.143926103447,25739.253686258195,34193.81340397122
2014-11-13,30404.072728948835,26073.657100535354,34598.07757411046
2014-11-14,34296.21340415474,30145.030577486505,38415.867950625405
2014-11-15,41080.41982781317,36641.47671325028,45234.24652750997
2014-11-16,40273.77752013587,36122.49462698275,44437.685431697035
2014-11-17,32416.074598701234,28136.715827406373,36510.63176648858
2014-11-18,29991.898933173798,25776.924706150872,34178.72724567482
2014-11-19,29463.289937230482,25404.33848381622,33508.85267483812
2014-11-20,29814.71231971016,25466.210703629567,34134.087377621436
2014-11-21,33741.07764609179,29426.56883820461,37723.949442417004
2014-11-22,40567.491844009375,36573.642113541464,44594.72956505719
2014-11-23,39810.08924317648,35663.415925344765,43667.542409719674
2014-11-24,32007.531037451252,27762.93873781236,36173.294649088086
2014-11-25,29643.134516825376,25520.286127857697,33639.76013964449
2014-11-26,29177.560564049854,24851.996356023315,33111.096462512025
2014-11-27,29593.82570333901,25307.18885365207,34007.2404100965
2014-11-28,33585.363455206985,29442.118876018067,38068.57295620118
2014-11-29,40475.812002385326,36092.01318216513,44559.834839423005
2014-11-30,39779.887629906094,35577.539477049795,43903.889773603754
2014-12-01,32034.92073278975,27786.35874053844,35964.79576437242
2014-12-02,29723.019709797816,25605.772882116944,33931.781498850534
2014-12-03,29303.789300591554,24888.66469931143,33210.66594543977
2014-12-04,29759.36883659981,25541.712158299935,33825.97949119275
2014-12-05,33782.514482667415,29435.409352496757,37819.97327915846
2014-12-06,40696.40195735566,36924.684106322995,44489.697598887986
2014-12-07,40015.508849705504,35954.091317890925,44576.898820359136
2014-12-08,32277.153161995036,28056.948216175948,36332.40184387403
2014-12-09,29963.653415410965,25973.074016453345,33863.406044980715
2014-12-10,29535.03707624775,25055.096920582957,33443.300675674705
2014-12-11,29974.063145822845,25596.201554300736,34398.49110735726
2014-12-12,33974.283524687016,30109.771406826872,38094.815666859904
2014-12-13,40859.8203157111,36677.55214366987,45033.61672210443
2014-12-14,40146.218982793966,35765.91011795844,44038.495168322115
2014-12-15,32371.95489059379,28145.09619348662,36571.406925914045
2014-12-16,30020.55952863524,26059.420837784914,34503.59027816947
2014-12-17,29553.294184826373,25131.264768505232,33405.779703397595
2014-12-18,29954.137930186705,25657.483835018418,33980.39108784129
2014-12-19,33917.81552510052,29830.216673466264,37996.60603185195
2014-12-20,40769.54336365735,36986.45023054884,44701.5444016745
2014-12-21,40025.854248942065,35997.04694115283,44325.4444169281
2014-12-22,32226.079300912505,27707.44521867743,36779.18572032101
2014-12-23,29854.45395360846,25560.708617427747,33648.71840223354
2014-12-24,29372.776320324832,25255.59910864078,33622.39703770805
2014-12-25,29765.385147986286,25400.493617244458,33575.774022856465
2014-12-26,33727.183167874085,29611.79731697936,38052.24296017546
2014-12-27,40583.38398908759,36292.88493438072,44652.07738424102
2014-12-28,39850.34319136365,35803.71298075566,43894.38773031408
2014-12-29,32067.051623213414,28166.65971264037,36467.099796868875
2014-12-30,29717.257416420187,25455.25070677584,33604.91694783415
2014-12-31,29262.144416069612,24893.025852742547,33757.20950089572
2015-01-01,29685.33355233258,25513.550270205364,33866.615832613075
2015-01-02,33680.93217301705,29900.148785232144,38069.66064230357
2015-01-03,40573.30862696649,35874.08332593565,44822.71211853644
2015-01-04,39877.951857250766,35657.100123970435,44040.89078569894
2015-01-05,32132.99309848262,28162.802582909942,36301.343465998514
2015-01-06,29821.35529225529,25657.87107570518,34343.731203832736
2015-01-07,29403.4570646027,25145.14914105582,33312.74744041933
2015-01-08,29862.237003607093,26041.814834112974,34331.68618621101
2015-01-09,33891.22256002349,29530.29593357341,37817.55808618975
2015-01-10,40814.32027655342,36487.628764254245,45032.15062493013
2015-01-11,40146.68664983497,35925.05107479799,44467.40323170202
2015-01-12,32426.25640721593,28235.685496031623,36792.52574821589
2015-01-13,30135.893651162747,25692.445121661727,34136.89137936849
2015-01-14,29736.09271025363,25623.42468039578,33898.05016600535
2015-01-15,30209.994583839984,26102.102713389024,34335.92551490538
2015-01-16,34251.44360273603,29931.835906016437,38271.583299649246
2015-01-17,41184.7614498795,36982.19557104787,45389.559621889406
2015-01-18,40525.598409422135,36218.73450740154,44795.06580667022
2015-01-19,32812.439297448625,28652.187496381186,37086.1850091041
2015-01-20,30528.730285629837,26574.705249385333,34845.02904090575
2015-01-21,30135.554276516996,25809.418871034533,33917.78553883259
2015-01-22,30616.621575295343,26525.05724436959,34794.51623755594
2015-01-23,34666.301347356224,30417.354614545373,38774.79584013748
2015-01-24,41609.37185615004,37387.01483309873,45864.21921406718
2015-01-25,40961.850156643246,36907.32576858189,45515.162446639035
2015-01-26,33262.47943625199,29329.695313252098,37376.96916568645
2015-01-27,30994.840860989614,26802.929052889725,35322.09928032917
2015-01-28,30620.018120706532,26237.256175492443,34834.41635137681
2015-01-29,31121.581824400462,27067.965471547668,35303.09972065877
2015-01-30,35193.619499326975,30933.085410463453,39343.298955289676
2015-01-31,42160.48930260764,37754.10934054797,46237.82176757392
2015-02-01,41537.658080276655,37093.86587194084,45640.63232665675
2015-02-02,33863.20177136056,29577.73778761304,37967.00924230986
2015-02-03,31619.934671860057,27371.854984606034,35742.04223261701
2015-02-04,31268.095270692364,26828.41145672932,35295.8733156674
2015-02-05,31790.355201633938,27482.525219736555,35921.87789024376
2015-02-06,35879.87635113259,31385.815687534134,39779.78558632528
2015-02-07,42860.09343032453,38639.35876337328,46840.51224201865
2015-02-08,42245.58178365317,38182.78979180226,46483.14977841489
2015-02-09,34573.58753182338,30432.396094081058,38750.88258392135
2015-02-10,32326.185654760335,28051.69360056444,36371.2696793563
2015-02-11,31962.99283356494,27887.295188061715,35925.375870926415
2015-02-12,32466.20074744798,28107.329942876622,36582.02862908224
2015-02-13,36528.654086005336,32346.1045641022,40686.55950784017
2015-02-14,43473.64989940775,39239.79116022975,47470.49071911149
2015-02-15,42815.81748651249,38197.542480391545,46696.79672100425
2015-02-16,35092.65547853579,30649.351304413496,39184.61700082264
2015-02-17,32786.69142854704,28468.63125216484,36866.391761388666
2015-02-18,32358.19058585973,28215.956400631032,36769.329992499705
2015-02-19,32790.179571155255,28476.888163464602,36799.36229430803
2015-02-20,36776.50939306899,32560.57647025574,40870.48544315137
2015-02-21,43641.63476508295,39407.91918173618,47817.562001665545
2015-02-22,42901.46940668495,38881.6299969733,46998.3704267854
2015-02-23,35094.89460396605,30818.76748222077,39437.22921277743
2015-02-24,32705.887074707472,28611.09223611516,36924.14329274237
2015-02-25,32196.19364837735,28009.998888472357,36432.44767287236
2015-02-26,32550.319381145127,28112.704562553445,36646.357165616086
2015-02-27,36463.55449860753,32216.70331860356,40606.40791588495
2015-02-28,43261.71809788606,39060.99995541371,47502.17460016527
2015-03-01,42461.9792589475,38119.685444481554,46627.38597696712
2015-03-02,34604.3337719721,30354.927617481168,38767.60948359262
2015-03-03,32173.703397245772,28142.613196946844,36284.614988328314
2015-03-04,31632.585953728136,27320.831773966027,35708.17766389092
2015-03-05,31966.023535021028,27675.112968393387,36428.063342207395
2015-03-06,35869.61479735233,31960.66377619433,40325.16093888297
2015-03-07,42669.2496609174,38023.86848261585,46574.54575031544
2015-03-08,41881.92733071471,37463.847252572865,46143.38839832452
2015-03-09,34047.23593887482,30201.901490898174,38384.33656525359
2015-03-10,31649.4606577638,27441.91257534479,35945.445457024114
2015-03-11,31150.248350900583,26798.720974199045,35485.99164114632
2015-03-12,31533.595677695528,27670.387949042837,35726.26503596792
2015-03-13,35493.88607033245,31011.7527488377,39327.320056052464
