month_start,total_sales,day_count
2011-01-01,88163,3
2011-02-01,726375,28
2011-03-01,763567,31
2011-04-01,737713,30
2011-05-01,719562,31
2011-06-01,753380,30
2011-07-01,819820,31
2011-08-01,825694,31
2011-09-01,813683,30
2011-10-01,898243,31
2011-11-01,823087,30
2011-12-01,887298,31
2012-01-01,893375,31
2012-02-01,897990,29
2012-03-01,986894,31
2012-04-01,944858,30
2012-05-01,997746,31
2012-06-01,1095609,30
2012-07-01,1080777,31
2012-08-01,1102780,31
2012-09-01,1064364,30
2012-10-01,1006308,31
2012-11-01,960684,30
2012-12-01,1030452,31
2013-01-01,1008560,31
2013-02-01,1010660,28
2013-03-01,1117570,31
2013-04-01,1034036,30
2013-05-01,1074683,31
2013-06-01,1135593,30
2013-07-01,1159467,31
2013-08-01,1204813,31
2013-09-01,1166515,30
2013-10-01,1124523,31
2013-11-01,1044799,30
2013-12-01,1054534,31
2014-01-01,1057012,31
2014-02-01,1009760,28
2014-03-01,1123706,31
2014-04-01,1104287,30
2014-05-01,1093092,31
2014-06-01,1110031,30
2014-07-01,1151764,31
2014-08-01,1184102,31
2014-09-01,1088414,30
2014-10-01,1103078,31
2014-11-01,1051078,30
2014-12-01,1013452,31
2015-01-01,1083115,31
2015-02-01,1031877,28
2015-03-01,1119727,31
2015-04-01,1093429,30
2015-05-01,1153014,31
2015-06-01,1155599,30
2015-07-01,1232147,31
2015-08-01,1254341,31
2015-09-01,1188913,30
2015-10-01,1248437,31
2015-11-01,1113976,30
2015-12-01,1126236,31
2016-01-01,1215286,31
2016-02-01,1212927,29
2016-03-01,1275746,31
2016-04-01,1046688,24
