item_id,total_sales
FOODS_1_001,12247
FOODS_1_002,7334
FOODS_1_003,13394
FOODS_1_004,129481
FOODS_1_005,22914
FOODS_1_006,22320
FOODS_1_008,3949
FOODS_1_009,7135
FOODS_1_010,6097
FOODS_1_011,10131
FOODS_1_012,85122
FOODS_1_013,24476
FOODS_1_014,13443
FOODS_1_015,12497
FOODS_1_016,13710
FOODS_1_017,7458
FOODS_1_018,133105
FOODS_1_019,63703
FOODS_1_020,16880
FOODS_1_021,27684
FOODS_1_022,3008
FOODS_1_023,30415
FOODS_1_024,21194
FOODS_1_025,9281
FOODS_1_026,9522
FOODS_1_027,36540
FOODS_1_028,14223
FOODS_1_029,4609
FOODS_1_030,7616
FOODS_1_031,19850
FOODS_1_032,125878
FOODS_1_033,2632
FOODS_1_034,6276
FOODS_1_035,8910
FOODS_1_036,25232
FOODS_1_037,17746
FOODS_1_038,12100
FOODS_1_039,4609
FOODS_1_040,26066
FOODS_1_041,14670
FOODS_1_042,46194
FOODS_1_043,128933
FOODS_1_044,28223
FOODS_1_045,28353
FOODS_1_046,126250
FOODS_1_047,19678
FOODS_1_048,8021
FOODS_1_049,11705
FOODS_1_050,5069
FOODS_1_051,12633
FOODS_1_052,12884
FOODS_1_053,7349
FOODS_1_054,22681
FOODS_1_055,56993
FOODS_1_056,3071
FOODS_1_057,3738
FOODS_1_058,54082
FOODS_1_059,10509
FOODS_1_060,3304
FOODS_1_061,40287
FOODS_1_062,10646
FOODS_1_063,18539
FOODS_1_064,11429
FOODS_1_065,11572
FOODS_1_066,16760
FOODS_1_067,52439
FOODS_1_068,4967
FOODS_1_069,17031
FOODS_1_070,8813
FOODS_1_071,10326
FOODS_1_072,7688
FOODS_1_073,11959
FOODS_1_074,20120
FOODS_1_075,10705
FOODS_1_076,14155
FOODS_1_077,2689
FOODS_1_078,4961
FOODS_1_079,1681
FOODS_1_080,10737
FOODS_1_081,13865
FOODS_1_082,67513
FOODS_1_083,34855
FOODS_1_084,2047
FOODS_1_085,148487
FOODS_1_086,48201
FOODS_1_087,39026
FOODS_1_088,29338
FOODS_1_089,3009
FOODS_1_090,12508
FOODS_1_091,11783
FOODS_1_092,22191
FOODS_1_093,5763
FOODS_1_094,18726
FOODS_1_095,7794
FOODS_1_096,92357
FOODS_1_097,25506
FOODS_1_098,5783
FOODS_1_099,63632
FOODS_1_101,11058
FOODS_1_102,12979
FOODS_1_103,19269
FOODS_1_104,36709
FOODS_1_105,9650
FOODS_1_106,30248
FOODS_1_107,5389
FOODS_1_108,24249
FOODS_1_109,8357
FOODS_1_110,75548
FOODS_1_111,2198
FOODS_1_112,22462
FOODS_1_113,53027
FOODS_1_114,8803
FOODS_1_115,9481
FOODS_1_116,10797
FOODS_1_117,13983
FOODS_1_118,10386
FOODS_1_119,6417
FOODS_1_120,26397
FOODS_1_121,21909
FOODS_1_122,5269
FOODS_1_123,15477
FOODS_1_124,17869
FOODS_1_125,4271
FOODS_1_126,3174
FOODS_1_127,22393
FOODS_1_128,11510
FOODS_1_129,37304
FOODS_1_130,22883
FOODS_1_131,2806
FOODS_1_132,13134
FOODS_1_133,12350
FOODS_1_134,10307
FOODS_1_135,9016
FOODS_1_136,6019
FOODS_1_137,49603
FOODS_1_138,10988
FOODS_1_139,31313
FOODS_1_140,9076
FOODS_1_141,7679
FOODS_1_142,22700
FOODS_1_143,14604
FOODS_1_144,13132
FOODS_1_145,20066
FOODS_1_146,11715
FOODS_1_147,5742
FOODS_1_148,3559
FOODS_1_149,12818
FOODS_1_150,28516
FOODS_1_151,4018
FOODS_1_152,14651
FOODS_1_153,18661
FOODS_1_154,37292
FOODS_1_155,17689
FOODS_1_156,7381
FOODS_1_157,5454
FOODS_1_158,6111
FOODS_1_159,5397
FOODS_1_160,1998
FOODS_1_161,88124
FOODS_1_162,66572
FOODS_1_163,19873
FOODS_1_164,5955
FOODS_1_166,34194
FOODS_1_167,10832
FOODS_1_168,14923
FOODS_1_169,7002
FOODS_1_170,63931
FOODS_1_171,5798
FOODS_1_172,32896
FOODS_1_173,65333
FOODS_1_174,13721
FOODS_1_175,12047
FOODS_1_176,7944
FOODS_1_177,12277
FOODS_1_178,13862
FOODS_1_179,2273
FOODS_1_180,18013
FOODS_1_181,22946
FOODS_1_182,17593
FOODS_1_183,34189
FOODS_1_184,80580
FOODS_1_185,17658
FOODS_1_186,5434
FOODS_1_187,24651
FOODS_1_188,6442
