week_start,total_sales,day_count
2011-01-24,64380,2
2011-01-31,196230,7
2011-02-07,193715,7
2011-02-14,172328,7
2011-02-21,166645,7
2011-02-28,179283,7
2011-03-07,181714,7
2011-03-14,177597,7
2011-03-21,164513,7
2011-03-28,176545,7
2011-04-04,182025,7
2011-04-11,176125,7
2011-04-18,159691,7
2011-04-25,154072,7
2011-05-02,165448,7
2011-05-09,177537,7
2011-05-16,154287,7
2011-05-23,151152,7
2011-05-30,176634,7
2011-06-06,188462,7
2011-06-13,177514,7
2011-06-20,169040,7
2011-06-27,177030,7
2011-07-04,194662,7
2011-07-11,186668,7
2011-07-18,177274,7
2011-07-25,168009,7
2011-08-01,193591,7
2011-08-08,197309,7
2011-08-15,194069,7
2011-08-22,176567,7
2011-08-29,180622,7
2011-09-05,200693,7
2011-09-12,191793,7
2011-09-19,183097,7
2011-09-26,198162,7
2011-10-03,210403,7
2011-10-10,214796,7
2011-10-17,189794,7
2011-10-24,184029,7
2011-10-31,204814,7
2011-11-07,205730,7
2011-11-14,193321,7
2011-11-21,176866,7
2011-11-28,194253,7
2011-12-05,208254,7
2011-12-12,207633,7
2011-12-19,172791,7
2011-12-26,191225,7
2012-01-02,220394,7
2012-01-09,211342,7
2012-01-16,200486,7
2012-01-23,189034,7
2012-01-30,226986,7
2012-02-06,230819,7
2012-02-13,209412,7
2012-02-20,204654,7
2012-02-27,220850,7
2012-03-05,235095,7
2012-03-12,226743,7
2012-03-19,210949,7
2012-03-26,209471,7
2012-04-02,243471,7
2012-04-09,228127,7
2012-04-16,204877,7
2012-04-23,201244,7
2012-04-30,233506,7
2012-05-07,229733,7
2012-05-14,229095,7
2012-05-21,214782,7
2012-05-28,246368,7
2012-06-04,258576,7
2012-06-11,266697,7
2012-06-18,245295,7
2012-06-25,237358,7
2012-07-02,266563,7
2012-07-09,257125,7
2012-07-16,238116,7
2012-07-23,219810,7
2012-07-30,251490,7
2012-08-06,263071,7
2012-08-13,260586,7
2012-08-20,234119,7
2012-08-27,239427,7
2012-09-03,265475,7
2012-09-10,253106,7
2012-09-17,233643,7
2012-09-24,224691,7
2012-10-01,253466,7
2012-10-08,245567,7
2012-10-15,218212,7
2012-10-22,208427,7
2012-10-29,234825,7
2012-11-05,246134,7
2012-11-12,228702,7
2012-11-19,202892,7
2012-11-26,212203,7
2012-12-03,244157,7
2012-12-10,235419,7
2012-12-17,235783,7
2012-12-24,196621,7
2012-12-31,248571,7
2013-01-07,244623,7
2013-01-14,230807,7
2013-01-21,215976,7
2013-01-28,235285,7
2013-02-04,247569,7
2013-02-11,269588,7
2013-02-18,244231,7
2013-02-25,255076,7
2013-03-04,252140,7
2013-03-11,258928,7
2013-03-18,233896,7
2013-03-25,235136,7
2013-04-01,268253,7
2013-04-08,256617,7
2013-04-15,236047,7
2013-04-22,217530,7
2013-04-29,239653,7
2013-05-06,247597,7
2013-05-13,252227,7
2013-05-20,234042,7
2013-05-27,249063,7
2013-06-03,273544,7
2013-06-10,265290,7
2013-06-17,250390,7
2013-06-24,254059,7
2013-07-01,284003,7
2013-07-08,278789,7
2013-07-15,257709,7
2013-07-22,245786,7
2013-07-29,263696,7
2013-08-05,278939,7
2013-08-12,272622,7
2013-08-19,261814,7
2013-08-26,265663,7
2013-09-02,291648,7
2013-09-09,288497,7
2013-09-16,259942,7
2013-09-23,248794,7
2013-09-30,276737,7
2013-10-07,271329,7
2013-10-14,252996,7
2013-10-21,236597,7
2013-10-28,254950,7
2013-11-04,257124,7
2013-11-11,250345,7
2013-11-18,228602,7
2013-11-25,211722,7
2013-12-02,263554,7
2013-12-09,248443,7
2013-12-16,234427,7
2013-12-23,202819,7
2013-12-30,252390,7
2014-01-06,256956,7
2014-01-13,245606,7
2014-01-20,226615,7
2014-01-27,231779,7
2014-02-03,261339,7
2014-02-10,263608,7
2014-02-17,244622,7
2014-02-24,243234,7
2014-03-03,259646,7
2014-03-10,267129,7
2014-03-17,239186,7
2014-03-24,234800,7
2014-03-31,265934,7
2014-04-07,270766,7
2014-04-14,265226,7
2014-04-21,242777,7
2014-04-28,254747,7
2014-05-05,250782,7
2014-05-12,255733,7
2014-05-19,229485,7
2014-05-26,237203,7
2014-06-02,271306,7
2014-06-09,267469,7
2014-06-16,257010,7
2014-06-23,236195,7
2014-06-30,280950,7
2014-07-07,278100,7
2014-07-14,259155,7
2014-07-21,241497,7
2014-07-28,263223,7
2014-08-04,268648,7
2014-08-11,271235,7
2014-08-18,260816,7
2014-08-25,245691,7
2014-09-01,274371,7
2014-09-08,267704,7
2014-09-15,248554,7
2014-09-22,236322,7
2014-09-29,267710,7
2014-10-06,264090,7
2014-10-13,250778,7
2014-10-20,231772,7
2014-10-27,240512,7
2014-11-03,261019,7
2014-11-10,248876,7
2014-11-17,232014,7
2014-11-24,218848,7
2014-12-01,252300,7
2014-12-08,239338,7
2014-12-15,233325,7
2014-12-22,195632,7
2014-12-29,239674,7
2015-01-05,248964,7
2015-01-12,250802,7
2015-01-19,233704,7
2015-01-26,243213,7
2015-02-02,278414,7
2015-02-09,271462,7
2015-02-16,244144,7
2015-02-23,242658,7
2015-03-02,261923,7
2015-03-09,266820,7
2015-03-16,245218,7
2015-03-23,237725,7
2015-03-30,265895,7
2015-04-06,268017,7
2015-04-13,254146,7
2015-04-20,245812,7
2015-04-27,259544,7
2015-05-04,264598,7
2015-05-11,264557,7
2015-05-18,240394,7
2015-05-25,246335,7
2015-06-01,284812,7
2015-06-08,282983,7
2015-06-15,268678,7
2015-06-22,253019,7
2015-06-29,281203,7
2015-07-06,290046,7
2015-07-13,286753,7
2015-07-20,264513,7
2015-07-27,276430,7
2015-08-03,299194,7
2015-08-10,287917,7
2015-08-17,270219,7
2015-08-24,260435,7
2015-08-31,282054,7
2015-09-07,297455,7
2015-09-14,280086,7
2015-09-21,269056,7
2015-09-28,285782,7
2015-10-05,297121,7
2015-10-12,283721,7
2015-10-19,262793,7
2015-10-26,262161,7
2015-11-02,276604,7
2015-11-09,270161,7
2015-11-16,255509,7
2015-11-23,232692,7
2015-11-30,272222,7
2015-12-07,261621,7
2015-12-14,264484,7
2015-12-21,220882,7
2015-12-28,260771,7
2016-01-04,279813,7
2016-01-11,279664,7
2016-01-18,267857,7
2016-01-25,266224,7
2016-02-01,293532,7
2016-02-08,305528,7
2016-02-15,300165,7
2016-02-22,276443,7
2016-02-29,302577,7
2016-03-07,298607,7
2016-03-14,287425,7
